year,condition,length_ft,beam_ft,dryWeight_lb,numEngines,totalHP,price
2018,0,19.83,7.83,2395,1,150,31235
2018,0,19.83,7.83,2395,1,150,31235
2019,0,18.58,8.17,1302,1,150,31260
2019,0,18.58,8.17,1215,1,150,31295
2019,0,26.17,8.5,2095,1,115,31315
2019,0,26.17,8.5,2095,1,115,31315
2019,0,17.58,8.08,1525,1,150,31320
2019,0,17.58,8.08,1525,1,150,31320
2019,0,24.17,8.5,1820,1,115,31345
2019,0,18.58,8.17,1215,1,150,31350
2019,0,16.9,7.17,1095,1,90,31367
2019,0,17.58,8.08,1525,1,150,31370
2019,0,18.67,7.83,1700,1,150,31390
2017,0,21.33,8,2200,1,115,31397
2019,0,19.33,7.75,1900,1,115,31415
2019,0,19.33,7.75,1900,1,115,31415
2019,0,24.17,8.5,1920,1,90,31430
2019,0,18.58,8.17,1215,1,150,31445
2019,0,18.58,8.17,1215,1,150,31450
2019,0,18.58,8.17,1215,1,150,31450
2019,0,18.17,8.5,2060,1,150,31470
2018,1,20,8.5,1967,1,60,31500
2006,1,21,7.75,3830,1,343,31500
2018,0,24.17,8.5,1920,1,115,31540
2018,0,17.58,8.08,1525,1,150,31585
2019,0,19.33,7.75,1900,1,115,31595
2019,0,19.33,7.75,1900,1,115,31595
2019,0,18.58,8.17,1215,1,150,31615
2019,0,17.58,8.08,1525,1,150,31620
2019,0,17.58,8.08,1525,1,150,31620
2019,0,17.58,8.08,1525,1,150,31620
2019,0,17.58,8.08,1525,1,150,31620
2019,0,18.58,8.17,1215,1,150,31630
2019,0,18.58,8.17,1215,1,150,31650
2019,0,18.58,8.17,1215,1,150,31650
2019,0,18.58,8.17,1215,1,150,31650
2019,0,18.58,8.17,1215,1,150,31650
2019,0,18.58,8.17,1215,1,150,31650
2019,0,17,6.92,1753,1,115,31654
2019,0,18.42,7.83,2270,1,150,31665
2018,0,18.42,7.83,2365,1,150,31680
2019,0,19,7.75,1135,1,150,31699
2019,0,24.17,8.5,1820,1,115,31745
2019,0,24.17,8.5,1820,1,115,31745
2019,0,18.42,7.83,2270,1,150,31760
2019,0,17.58,8.08,1525,1,150,31765
2019,0,18.58,8.17,1215,1,150,31770
2019,0,17.58,8.08,1525,1,150,31780
2019,0,17.58,8.08,1525,1,150,31780
2019,0,17.58,8.08,1525,1,150,31780
2018,0,21.42,8.5,1930,1,150,31790
2019,0,26.17,8.5,2200,1,115,31805
2019,0,26.17,8.5,2200,1,115,31805
2019,0,18.42,7.83,2270,1,150,31810
2019,0,18.42,7.83,2270,1,150,31810
2019,0,18.42,7.83,2270,1,150,31810
2019,0,24.17,8.5,1820,1,90,31815
2019,0,17.58,8.08,1525,1,115,31815
2019,0,17.58,8.08,1525,1,150,31815
2019,0,17.58,8.08,1525,1,150,31815
2019,0,17.58,8.08,1525,1,150,31815
2019,0,18.17,8.5,2060,1,150,31820
2019,0,18.5,7.58,1752,1,115,31825
2019,0,24.17,8.5,1820,1,115,31895
2019,0,10,5.33,550,1,60,31900
2017,1,20.25,8.08,1360,1,115,31900
2017,1,21,8,2030,1,115,31900
2017,1,21,8,2030,1,115,31900
2017,0,18,8,2085,1,115,31900
2010,1,21.5,8.5,3455,1,150,31900
2004,1,26.67,8.5,4700,1,250,31900
2007,1,24,8.5,5284,2,260,31900
2005,1,28.67,9,6750,1,385,31900
2019,0,18.5,7.58,1752,1,115,31910
2018,0,18.67,8,1790,1,150,31914
2018,0,19.83,7.83,2395,1,150,31925
2019,0,18.67,8,1150,1,115,31978
2018,0,21.42,8.5,1930,1,150,31990
2019,0,18.17,8.5,2092,1,150,31995
2014,1,22,8.5,2460,1,150,31995
2005,1,24,8.5,3900,1,300,31995
2003,1,24,8.5,4680,1,300,31995
2003,1,26.5,8.83,5800,1,320,31995
2019,0,18.17,8.5,2060,1,150,32045
2018,0,21.42,8.5,1930,1,150,32065
2019,0,24.17,8.5,1820,1,115,32105
2019,0,24.17,8.5,1920,1,115,32145
2018,0,19.83,7.83,2395,1,150,32145
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18.17,8.5,2060,1,150,32170
2019,0,18,8.5,2092,1,150,32170
2019,0,18.42,7.83,2270,1,150,32205
2018,0,26.17,8.5,2285,1,115,32215
2019,0,24.17,8.5,1920,1,115,32245
2019,0,24.17,8.5,1920,1,115,32245
2019,0,24.17,8.5,1920,1,115,32245
2019,0,24.17,8.5,1920,1,115,32245
2019,0,24.17,8.5,1920,1,115,32245
2019,0,24.17,8.5,2000,1,115,32245
2019,0,24.17,8.5,2159,1,115,32245
2019,0,24.17,8.5,1920,1,150,32255
2019,0,24.17,8.5,1920,1,90,32280
2019,0,24.17,8.5,1920,1,90,32280
2019,0,24.17,8.5,2000,1,90,32280
2018,0,21.33,8.5,2196,1,90,32295
2019,0,24.17,8.5,2159,1,90,32315
2019,0,24.17,8.5,2159,1,90,32315
2018,0,19.83,8.25,3100,1,200,32322
2019,0,19.83,7.83,2963,1,200,32340
2018,0,26.17,8.5,2285,1,115,32365
2018,0,18,7.5,2822,1,200,32381
2019,0,19.83,7.83,2963,1,200,32390
2019,0,24.17,8.5,1920,1,115,32395
2019,0,24.17,8.5,2000,1,115,32395
2017,0,19.42,8.5,3135,1,150,32410
2019,0,24.17,8.5,1820,1,90,32415
2019,0,18,7.75,1900,1,115,32420
2019,0,18.83,7.75,1900,1,115,32420
2019,0,17.58,8.08,1525,1,150,32420
2019,0,17.58,8.08,1525,1,150,32420
2019,0,24.17,8.5,1920,1,115,32430
2019,0,24.17,8.5,1920,1,115,32430
2020,0,18.58,8.17,1215,1,150,32455
2019,0,18.17,8.5,2060,1,150,32470
2019,0,20.83,8.42,1850,1,115,32495
2019,0,20,8,1780,1,90,32498
2019,0,19.83,7.67,1210,1,150,32500
2003,1,27.42,8.5,5375,1,250,32500
2012,1,22,8.5,3500,1,320,32500
2004,1,27,8.83,5800,1,320,32500
2019,0,24.17,8.5,1920,1,115,32505
2019,0,26.17,8.5,2095,1,115,32520
2019,0,18.17,8.5,2060,1,150,32520
2019,0,18.17,8.5,2060,1,150,32520
2019,0,26.17,8.5,2095,1,150,32520
2019,0,26.17,8.5,2095,1,150,32520
2019,0,17.58,8.08,1525,1,150,32530
2019,0,18.67,7.83,1700,1,150,32545
2019,0,17.58,8.08,1525,1,150,32580
2019,0,17.58,8.08,1525,1,150,32580
2019,0,24.17,8.5,1920,1,115,32605
2019,0,24.17,8.5,1920,1,115,32605
2019,0,24.17,8.5,2000,1,115,32605
2019,0,24.17,8.5,2000,1,115,32605
2019,0,24.17,8.5,2000,1,115,32605
2019,0,24.17,8.5,2159,1,115,32605
2019,0,24.17,8.5,2159,1,115,32605
2019,0,24.17,8.5,2159,1,115,32605
2019,0,24.17,8.5,2159,1,115,32605
2018,0,24.17,8.5,2159,1,150,32615
2019,0,26.17,8.5,2095,1,150,32620
2019,0,26.17,8.5,2095,1,150,32620
2019,0,26.17,8.5,2095,1,150,32620
2018,0,19,7.83,1600,1,140,32655
2019,0,26.17,8.5,2200,1,115,32665
2019,0,18.17,8.5,2060,1,150,32695
2019,0,18.17,8.5,2060,1,150,32695
2019,0,18.17,8.5,2060,1,150,32695
2019,0,18.17,8.5,2060,1,150,32695
2018,0,19.83,7.83,2395,1,150,32730
2018,0,19.83,7.83,2395,1,150,32735
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.17,8.5,2060,1,150,32745
2019,0,18.42,7.83,2270,1,150,32775
2019,0,19.42,7.75,1675,1,150,32780
2019,0,24.17,8.5,1920,1,115,32790
2019,0,24.17,8.5,1920,1,115,32790
2019,0,24.17,8.5,1820,1,115,32815
2019,0,24.17,8.5,1820,1,115,32815
2019,0,24.17,8.5,1820,1,115,32815
2019,0,24.17,8.5,1820,1,115,32815
2019,0,24.17,8.5,1820,1,115,32815
2019,0,24.17,8.5,2159,1,115,32825
2019,0,24.17,8.5,2159,1,115,32825
2019,0,17.58,8.08,1525,1,150,32840
2018,0,26.17,8.5,2095,1,115,32845
2019,0,24.17,8.5,2159,1,115,32845
2019,0,24.17,8.5,1920,1,115,32880
2019,0,15,7.5,1200,1,75,32900
2000,1,30,11,11875,1,220,32900
2007,1,24.5,8.5,4680,1,260,32900
2002,1,33,11.5,10000,2,540,32900
1992,1,32,8.33,7300,2,850,32900
2019,0,18.67,7.83,1700,1,150,32980
2019,0,18.67,7.83,1700,1,150,32980
2019,0,18.67,7.83,1700,1,150,32980
2019,0,18.67,7.83,1700,1,150,32980
2018,0,21,8.42,2471,1,90,32986
2019,0,24,7.92,925,1,150,32990
2019,0,21.42,8.5,1930,1,150,32990
2015,1,20.08,8.33,2600,1,150,32995
2019,0,18.83,8,2460,1,200,32998
2017,0,22,8.5,2075,1,90,32999
2018,0,18.75,7.92,1579,1,175,32999
2018,0,19,8,2293,1,180,32999
2018,0,19.66,7.83,2662,1,200,32999
2019,0,19.83,7.67,1210,1,115,33000
2019,0,15.75,7.08,1600,1,300,33031
2018,0,19.83,7.83,2963,1,200,33035
2019,0,24.17,8.5,1820,1,115,33075
2019,0,19.83,7.83,2395,1,150,33080
2019,0,18.17,8.5,2060,1,150,33095
2019,0,18.17,8.5,2060,1,150,33095
2019,0,18.17,8.5,2060,1,150,33095
2018,0,19.83,7.83,2963,1,200,33095
2019,0,26.17,8.5,2200,1,150,33120
2019,0,26.17,8.5,2200,1,150,33120
2019,0,26.17,8.5,2200,1,150,33120
2019,0,26.17,8.5,2200,1,150,33120
2019,0,26.17,8.5,2200,1,150,33120
2019,0,26.17,8.5,2200,1,150,33120
2017,0,19.83,7.83,2395,1,150,33125
2019,0,19.83,7.83,2963,1,200,33130
2019,0,19.83,7.83,2963,1,200,33130
2019,0,19.83,7.83,2963,1,200,33130
2019,0,18.17,8.5,2092,1,150,33145
2018,0,24.17,8.5,2159,1,150,33150
2019,0,24.17,8.5,1820,1,115,33175
2019,0,24.17,8.5,1820,1,115,33175
2019,0,24.17,8.5,1920,1,115,33180
2019,0,19.83,7.83,2963,1,200,33180
2019,0,17.58,8.08,1525,1,150,33185
2019,0,18.67,7.83,1700,1,150,33195
2019,0,18.67,7.83,1700,1,150,33195
2019,0,24.17,8.5,2159,1,115,33215
2019,0,18.17,8.5,2092,1,150,33220
2019,0,26.17,8.5,2095,1,150,33220
2019,0,18.67,7.83,1700,1,150,33245
2019,0,18,8.5,2092,1,150,33270
2019,0,18.17,8.5,2092,1,150,33270
2019,0,18.17,8.5,2092,1,150,33270
2019,0,18.17,8.5,2092,1,150,33270
2019,0,18.17,8.5,2092,1,150,33270
2019,0,18.17,8.5,2092,1,150,33270
2019,0,18.17,8.5,2092,1,150,33270
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,1920,1,115,33280
2019,0,24.17,8.5,2000,1,115,33280
2019,0,24.17,8.5,2000,1,115,33280
2009,1,21,7.83,1930,1,250,33310
2019,0,24.17,8.5,2159,1,115,33315
2019,0,24.17,8.5,2159,1,115,33315
2019,0,24.17,8.5,2159,1,115,33315
2019,0,24.17,8.5,2159,1,115,33315
2019,0,24.17,8.5,2159,1,115,33315
2019,0,24.17,8.5,2159,1,115,33315
2019,0,24.17,8.5,2159,1,115,33315
2019,0,19.83,7.83,2395,1,150,33315
2019,0,19.83,7.83,2395,1,150,33315
2019,0,19.83,7.83,2395,1,150,33315
2019,0,19.83,7.83,2395,1,150,33315
2019,0,24.17,8.5,3250,1,115,33320
2018,0,19.83,7.83,2963,1,200,33345
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,19.83,7.83,2395,1,150,33365
2019,0,26.17,8.5,2200,1,115,33405
2019,0,26.17,8.5,2200,1,115,33405
2019,0,19.42,7.75,1675,1,150,33430
2019,0,18.67,7.83,1700,1,150,33470
2019,0,19.42,7.75,1675,1,150,33480
2019,0,17.58,8.08,1525,1,150,33495
1994,1,33,11.67,11030,1,27,33500
2019,0,18.67,7.83,1700,1,150,33500
2019,0,20.67,7.75,2645,1,150,33500
2019,0,20.67,7.75,2645,1,150,33500
2008,1,24.83,8.5,5593,1,260,33500
2008,1,20.67,8,3000,1,325,33500
2019,0,24.17,8.5,2159,1,115,33575
2019,0,18.67,7.83,1700,1,150,33585
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,19.83,7.83,2963,1,200,33595
2019,0,20,8.25,2974,1,200,33614
2019,0,20,8.25,2974,1,200,33614
2019,0,20,8.25,2974,1,200,33614
2019,0,26.17,8.5,2095,1,150,33615
2019,0,18.67,7.83,1700,1,150,33635
2019,0,24.17,8.5,2000,1,115,33640
2019,0,24.17,8.5,2000,1,115,33640
2019,0,21.42,8.5,1930,1,150,33640
2019,0,21.42,8.5,1930,1,150,33640
2019,0,24.17,8.5,1820,1,115,33675
2019,0,24.17,8.5,2159,1,115,33675
2019,0,24.17,8.5,2159,1,115,33675
2019,0,24.17,8.5,2159,1,115,33675
2019,0,24.17,8.5,2159,1,115,33675
2019,0,18.17,8.5,2092,1,150,33690
2019,0,26.17,8.5,2095,1,150,33715
2019,0,24.17,8.5,2159,1,115,33750
2019,0,26.17,8.5,2095,1,115,33755
2019,0,26.17,8.5,2095,1,115,33755
2019,0,26.17,8.5,2095,1,115,33755
2019,0,24.17,8.5,1820,1,115,33775
2019,0,24.17,8.5,1820,1,115,33775
2019,0,24.17,8.5,1820,1,115,33775
2019,0,24.17,8.5,1920,1,115,33780
2019,0,19.83,7.83,2395,1,150,33780
2019,0,19.83,7.83,2395,1,150,33780
2018,0,18.83,7.75,2500,1,150,33780
2018,0,18.33,8.17,1800,1,115,33790
2019,0,18,9.42,2255,1,115,33790
2019,0,18.17,8.5,2092,1,150,33795
2019,0,18.17,8.5,2092,1,150,33795
2019,0,18.17,8.5,2092,1,150,33795
2019,0,18.42,7.83,2365,1,150,33795
2019,0,24.17,8.5,2159,1,115,33815
2019,0,24.17,8.5,2159,1,115,33815
2019,0,21.42,8.5,1930,1,150,33840
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.17,8.5,2092,1,150,33845
2019,0,18.67,7.83,1700,1,150,33850
2019,0,26.17,8.5,2095,1,115,33855
2019,0,26.17,8.5,2200,1,115,33855
2019,0,24.17,8.5,2000,1,115,33880
2019,0,24.17,8.5,2000,1,115,33880
2019,0,18.67,7.83,1700,1,150,33890
2019,0,18.67,7.83,1700,1,150,33890
2019,0,18.67,7.83,1700,1,150,33890
2018,0,19.83,7.83,2963,1,200,33895
2015,1,23,8.5,2062,1,115,33900
2019,0,18.67,7.83,1700,1,150,33900
2019,0,18.67,7.83,1700,1,150,33900
2019,0,18.67,7.83,1700,1,150,33900
2019,0,18.67,7.83,1700,1,150,33900
2019,0,18.67,7.83,1700,1,150,33900
2019,0,18.67,7.83,1700,1,150,33900
2019,0,20.83,8,1773,1,150,33900
2005,1,23,8.5,3487,2,230,33900
2006,1,23,8.5,3487,2,230,33900
1998,1,29,10.17,10500,2,380,33900
2004,1,29,10.5,11110,2,520,33900
2019,0,18.67,7.83,1700,1,150,33905
2019,0,18.67,7.83,1700,1,150,33905
2019,0,18.42,7.83,2365,1,150,33910
2019,0,18.42,7.83,2365,1,150,33925
2019,0,19.42,7.75,1675,1,150,33930
2018,0,19.83,7.83,2395,1,175,33940
2019,0,20,8.33,2700,1,200,33945
2017,0,19.42,7.75,1675,1,150,33955
2019,0,19.42,7.75,1675,1,150,33980
2019,0,19.42,7.75,1675,1,150,33980
2019,0,19.42,7.75,1675,1,150,33980
2019,0,19.42,7.75,1675,1,150,33980
2019,0,19.83,7.83,2963,1,200,33990
2016,1,22.25,8.5,1921,1,90,33995
2006,1,23.5,8.5,4370,1,260,33995
2018,0,23,8.42,2230,1,40,33999
2016,1,20,8,1900,1,115,33999.99
2019,0,17.92,8,1100,1,115,34000
2018,0,21.5,7.83,1680,1,115,34000
2004,1,26,8.5,7400,1,320,34000
2019,0,21.42,8.5,1930,1,150,34040
2019,0,21.42,8.5,1930,1,150,34040
2019,0,21.42,8.5,1930,1,150,34040
2019,0,21.42,8.5,1930,1,150,34040
2019,0,21.42,8.5,1930,1,150,34040
2020,0,24.17,8.5,2039,1,90,34045
2018,0,18.83,7.92,1700,1,175,34115
2019,0,24.17,8.5,1920,1,115,34140
2019,0,24.17,8.5,1820,1,150,34145
2019,0,24.17,8.5,1820,1,150,34145
2019,0,24.17,8.5,1820,1,150,34145
2019,0,24.17,8.5,1820,1,150,34145
2019,0,24.17,8.5,1820,1,150,34145
2019,0,24.17,8.5,1820,1,150,34145
2019,0,24.17,8.5,1820,1,150,34145
2019,0,19.83,7.83,2395,1,150,34145
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,18.67,7.83,1700,1,150,34155
2019,0,24.17,8.5,1820,1,115,34165
2019,0,24.17,8.5,1820,1,115,34165
2019,0,18.67,7.83,1700,1,150,34170
2019,0,18.67,7.83,1700,1,150,34170
2019,0,18.67,7.83,1700,1,150,34170
2019,0,18.67,7.83,1700,1,150,34170
2018,0,19.83,7.83,2963,1,200,34180
2018,0,19.83,7.83,2963,1,200,34180
2018,0,20.33,8.5,2506,1,90,34195
2019,0,24.17,8.5,2159,1,115,34195
2019,0,19.42,7.75,1675,1,150,34205
2019,0,21.42,8.5,1930,1,150,34240
2019,0,21.42,8.5,1930,1,150,34240
2019,0,26.17,8.5,2200,1,115,34255
2019,0,26.17,8.5,2200,1,115,34255
2019,0,19.42,7.75,1675,1,150,34255
2019,0,24.17,8.5,2159,1,115,34275
2019,0,18,8,1513,1,150,34289
2019,0,18.17,8.5,2060,1,150,34295
2019,0,19.42,7.75,1675,1,150,34390
2019,0,19.42,7.75,1675,1,150,34390
2019,0,19.42,7.75,1675,1,150,34390
2018,0,23.42,8.5,2562,1,115,34395
2019,0,17.67,8,1700,1,115,34397
2018,0,19,8.5,2001,1,150,34440
2020,0,24.17,8.5,2379,1,90,34445
2019,0,18.67,8,1575,1,150,34495
2014,1,23.42,8.5,2250,1,200,34495
2019,0,20.42,8.25,2490,1,115,34500
1991,1,26,8.17,5200,1,330,34500
2019,0,18.67,7.83,1690,1,150,34502
2019,0,18.67,7.83,1700,1,150,34545
2019,0,18.67,7.83,1700,1,150,34545
2019,0,18.67,7.83,1700,1,150,34545
2019,0,18.67,7.83,1700,1,150,34545
2019,0,18.67,7.83,1700,1,150,34545
2019,0,18.67,7.83,1700,1,150,34545
2019,0,18.67,7.83,1700,1,150,34545
2019,0,24.17,8.5,1920,1,150,34545
2019,0,17.58,8.08,1525,1,150,34560
2019,0,18.67,7.83,1700,1,150,34560
2019,0,18.67,7.83,1700,1,150,34560
2019,0,18.67,7.83,1700,1,150,34585
2019,0,24.17,8.5,1920,1,150,34645
2019,0,24.17,8.5,1920,1,150,34645
2019,0,24.17,8.5,1920,1,150,34645
2019,0,24.17,8.5,1920,1,150,34645
2019,0,24.17,8.5,1920,1,150,34645
2019,0,24.17,8.5,1920,1,150,34645
2019,0,24.17,8.5,2000,1,150,34645
2019,0,24.17,8.5,2159,1,150,34645
2019,0,24.17,8.5,2159,1,150,34645
2019,0,24.17,8.5,2159,1,150,34645
2019,0,24.17,8.5,2159,1,115,34665
2019,0,24.17,8.5,1920,1,115,34680
2019,0,19.83,7.83,2395,1,150,34695
2019,0,19.83,7.83,2395,1,150,34715
2019,0,19.42,8.5,3135,1,115,34735
2019,0,19.42,8.5,3135,1,115,34735
2019,0,19.42,8.5,3135,1,150,34740
2019,0,19.42,7.75,1675,1,150,34745
2019,0,19.42,7.75,1675,1,150,34745
2019,0,26.17,8.5,2095,1,115,34750
2019,0,19.83,7.83,2395,1,150,34765
2019,0,19.83,7.83,2395,1,150,34765
2019,0,19.83,7.83,2395,1,150,34765
2019,0,19.83,7.83,2395,1,150,34765
2019,0,18.67,7.83,1700,1,150,34775
2019,0,18.67,7.83,1700,1,150,34775
2019,0,19.83,7.83,2963,1,200,34780
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34810
2019,0,18.67,7.83,1700,1,150,34815
2019,0,19,8.5,2001,1,150,34820
2019,0,18.67,7.83,1700,1,150,34825
2019,0,18.67,7.83,1700,1,150,34825
2019,0,18.67,7.83,1700,1,150,34825
2019,0,26.17,8.5,2095,1,115,34850
2019,0,26.17,8.5,2095,1,115,34850
2019,0,26.17,8.5,2095,1,115,34850
2019,0,26.17,8.5,2095,1,115,34850
2019,0,18.67,7.83,1700,1,150,34850
2018,0,24.17,8.5,3250,1,115,34865
2019,0,19.42,7.75,1675,1,150,34890
2019,0,19.42,7.75,1675,1,150,34890
2019,0,19,8.17,2575,1,180,34899
2015,1,19,8,1900,1,115,34900
2014,1,21.33,7.67,1550,1,150,34900
2013,1,20,7.92,1926,1,250,34900
2008,1,26.17,8.5,6040,1,270,34900
2002,1,23,8.5,3150,2,300,34900
2001,1,27.67,9.17,7500,1,310,34900
2008,1,24,8.5,4400,1,320,34900
2008,1,24,8.5,4320,1,340,34900
1994,1,32,11.67,10300,2,640,34900
1987,1,32,12,18000,2,640,34900
2003,1,29,9.67,7200,2,700,34900
2019,0,19,7.5,2100,1,115,34988
2014,0,21,8.5,3100,1,150,34995
2007,1,25,8.5,5969,1,260,34995
2019,0,20,8.33,2600,1,115,34999
1995,1,29,10.17,10500,1,220,34999
2012,1,22,8.5,4230,1,300,34999
2019,0,20.25,8.08,1360,1,150,35000
2009,1,24,8.5,5593,1,260,35000
2006,1,28,9.75,7597,1,300,35000
1999,1,32,8.33,8100,2,375,35000
2000,1,35.5,11,11170,2,440,35000
2000,1,32,11.83,12000,2,560,35000
2019,0,24.17,8.5,2159,1,115,35025
2019,0,24.17,8.5,2159,1,115,35025
2019,0,18.67,7.83,1700,1,150,35080
2019,0,26.17,8.5,2200,1,115,35090
2019,0,24.17,8.5,1820,1,150,35115
2019,0,19,8.5,2001,1,150,35120
2019,0,19,8.5,2001,1,150,35120
2019,0,19,8.5,2001,1,150,35120
2019,0,19,8.5,2001,1,150,35120
2019,0,22.75,8.5,2100,1,115,35129
2019,0,19.83,7.83,2395,1,150,35130
2019,0,18.67,7.83,1700,1,150,35145
2019,0,19.83,7.83,2963,1,200,35145
2019,0,19.83,7.83,2963,1,200,35145
2019,0,19.42,7.75,1675,1,150,35165
2019,0,19.83,7.83,2395,1,150,35180
2019,0,19.83,7.83,2395,1,150,35180
2019,0,17.6,7.33,1190,1,90,35194
2019,0,19.83,7.83,2395,1,150,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,19.83,7.83,2963,1,200,35195
2019,0,26.17,8.5,2095,1,115,35210
2019,0,26.17,8.5,2095,1,115,35210
2019,0,24.17,8.5,1820,1,150,35215
2019,0,24.17,8.5,1820,1,150,35215
2019,0,24.17,8.5,1820,1,150,35215
2019,0,24.17,8.5,1820,1,150,35215
2019,0,24.17,8.5,1820,1,150,35215
2019,0,24.17,8.5,1820,1,150,35215
2019,0,26.17,8.5,2200,1,115,35240
2019,0,24.17,8.5,1920,1,150,35245
2019,0,24.17,8.5,2000,1,150,35245
2017,0,21,8.33,2100,1,150,35255
2019,0,24.17,8.5,2159,1,115,35265
2019,0,20,8.5,2495,1,90,35286
2018,0,24.17,8.5,2885,1,150,35335
2019,0,26.17,8.5,2200,1,115,35340
2019,0,26.17,8.5,2200,1,115,35340
2019,0,26.17,8.5,2200,1,115,35340
2019,0,26.17,8.5,2200,1,115,35340
2019,0,26.17,8.5,2200,1,115,35340
2019,0,26.17,8.5,2200,1,150,35360
2016,0,19.83,7.83,2395,1,150,35380
2019,0,24.17,8.5,2680,1,150,35420
2019,0,24.17,8.5,2680,1,150,35420
2019,0,19.83,7.83,2963,1,200,35445
2019,0,18.67,7.83,1700,1,150,35470
2019,0,19,8.5,2001,1,150,35470
2019,0,18.75,8,1520,1,150,35495
2019,0,18.75,8,1520,1,150,35495
2019,0,24.17,8.5,1820,1,150,35495
2018,0,21,8.42,2300,1,200,35499
2019,0,20.3,8.08,1360,1,150,35500
2019,0,24.17,8.5,2680,1,150,35520
2019,0,24.17,8.5,2680,1,150,35520
2019,0,24.17,8.5,1820,1,115,35557
2018,0,19.16,8.33,2600,1,150,35558
2019,0,24.17,8.5,2159,1,150,35615
2019,0,24.17,8.5,2159,1,150,35615
2019,0,24.17,8.5,2159,1,115,35625
